category,number,name,team,year,brand,set,flags,front_image,back_image
Baseball,254,Zack Britton,New York Yankees,2021,Topps,2021 Topps - Orange,SN299,https://storage.googleapis.com/collx-user-cards/232360-323701727-front.jpg,https://storage.googleapis.com/collx-user-cards/232360-323701727-back.jpg
Baseball,BCP-142,Corbin Carroll,Arizona Diamondbacks,2021,Bowman,2021 Bowman - Chrome Prospects Mojo Refractor,,https://storage.googleapis.com/collx-user-cards/232360-323694615-front.jpg,https://storage.googleapis.com/collx-user-cards/232360-323694615-back.jpg
Baseball,BCP-142,Corbin Carroll,Arizona Diamondbacks,2021,Bowman,2021 Bowman - Chrome Prospects Mojo Refractor,,https://storage.googleapis.com/collx-user-cards/232360-323693596-front.jpg,https://storage.googleapis.com/collx-user-cards/232360-323693596-back.jpg
Baseball,279,Danny Mendick,Chicago White Sox,2021,Topps,2021 Topps - Gold,SN2021,https://storage.googleapis.com/collx-user-cards/232360-323681897-front.jpg,https://storage.googleapis.com/collx-user-cards/232360-323681897-back.jpg
Baseball,GS-2,Stan Musial,St. Louis Cardinals,2012,Topps,2012 Topps - Gold Standard,,https://storage.googleapis.com/collx-user-cards/232360-323676823-front.jpg,https://storage.googleapis.com/collx-user-cards/232360-323676823-back.jpg
Baseball,518,Randy Johnson,Seattle Mariners,1990,Fleer,1990 Fleer,,https://storage.googleapis.com/collx-user-cards/232360-322498416-front.jpg,https://storage.googleapis.com/collx-user-cards/232360-322498416-back.jpg
Baseball,TDH-24,Derek Jeter,New York Yankees,2021,Topps,2021 Topps - Topps Double Headers,,https://storage.googleapis.com/collx-user-cards/232360-322496680-front.jpg,https://storage.googleapis.com/collx-user-cards/232360-322496680-back.jpg
Baseball,638,Tom Glavine,Atlanta Braves,1988,Score,1988 Score - Glossy,RC,https://storage.googleapis.com/collx-user-cards/232360-322496386-front.jpg,https://storage.googleapis.com/collx-user-cards/232360-322496386-back.jpg
Baseball,HMT41,Yoan Moncada,Boston Red Sox,2017,Topps,2017 Topps Chrome Update,,https://storage.googleapis.com/collx-user-cards/232360-322493872-front.jpg,https://storage.googleapis.com/collx-user-cards/232360-322493872-back.jpg
Baseball,396,Kirk Gibson,Los Angeles Dodgers,1989,Topps,1989 Topps,,https://storage.googleapis.com/collx-user-cards/232360-322493661-front.jpg,https://storage.googleapis.com/collx-user-cards/232360-322493661-back.jpg
