title,player,sport,variant,brand,price,condition,watchers,status
Stephen Curry Rare Refractor Display MVP Warriors Collectible MINT ENCASED,Stephen Curry,Basketball,Refractor / Display,Panini,65.5,Pre-Owned,16,Active
LeBron James RARE REFRACTOR SSP Investment Card Lakers MVP MINT ENCASED,LeBron James,Basketball,Refractor / SSP,Panini,44.5,Pre-Owned,42,Active
50/50 Shohei Ohtani RARE Refractor SSP Investment Card Dodgers 50/50 ENCASED,Shohei Ohtani,Baseball,Refractor / SSP,Topps,55.5,Pre-Owned,161,Active
Anthony Edwards RARE ROOKIE RC DIAMOND REFRACTOR SSP INVESTMENT CARD ENCASED,Anthony Edwards,Basketball,Rookie / RC / Refractor / SSP,Panini,125.0,Pre-Owned,56,Active
Anthony Edwards RARE ROOKIE RC DIAMOND REFRACTOR SSP INVESTMENT CARD ENCASED (Asia Red),Anthony Edwards,Basketball,Rookie / RC / Refractor / SSP / Red,Panini,150.0,Pre-Owned,10,Active
Tom Brady RARE Display Clear Investment Card MVP Buccaneers Encased,Tom Brady,Football,Clear / Display,Panini,55.5,Pre-Owned,27,Active
Stephen Curry 2016 NBA Art Card MVP Warriors Collectible MINT ENCASED,Stephen Curry,Basketball,Art Card,Panini,65.5,Pre-Owned,34,Active
Nikola Jokic RARE REFRACTOR PRIZM INVESTMENT CARD DENVER NUGGETS MINT ENCASED,Nikola Jokic,Basketball,Refractor / Prizm,Panini,65.0,Pre-Owned,0,Active
Victor Wembanyama RARE Refractor Investment Card Topps MINT ENCASED,Victor Wembanyama,Basketball,Refractor,Topps,65.0,Pre-Owned,12,Active
Anthony Edwards RARE DISPLAY REFRACTOR SSP INVESTMENT CARD T-Wolves MVP ENCASED,Anthony Edwards,Basketball,Display / Refractor / SSP,Panini,44.5,Pre-Owned,19,Active
50/50 Shohei Ohtani RARE Topps Refractor Investment Card Dodgers 50/50 ENCASED,Shohei Ohtani,Baseball,Refractor,Topps,55.5,Pre-Owned,0,Active
Stephen Curry RARE RED REFRACTOR SSP PANINI WARRIORS MINT Encased,Stephen Curry,Basketball,Red / Refractor / SSP,Panini,45.5,Pre-Owned,30,Active
Victor Wembanyama RARE Jam Masters Refractor Investment Card Panini ENCASED,Victor Wembanyama,Basketball,Jam Masters / Refractor,Panini,54.5,Pre-Owned,19,Active
Victor Wembanyama RARE Refractor Investment Card Panini ROTY MINT ENCASED,Victor Wembanyama,Basketball,Refractor,Panini,54.5,Pre-Owned,28,Active
Anthony Edwards RARE HOLO REFRACTOR SSP INVESTMENT CARD PANINI MVP MINT ENCASED,Anthony Edwards,Basketball,Holo / Refractor / SSP,Panini,44.5,Pre-Owned,40,Active
