added,collx_id,category,number,name,team,year,brand,set,flags,condition,market_value,notes,front_image,back_image
8/7/2022,20881380,Football,TL-10,A.J. Brown / Derrick,Tennessee Titans,2020,Panini,2020 Panini Playoff - Thunder & Lightning,,RAW,,,https://storage.googleapis.com/collx-media/user_cards/232360-20881380-1659915498-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-20881380-1659915498-back.jpg
8/12/2022,22138361,Football,295,A.J. Epenesa,Buffalo Bills,2020,Panini,2020 Panini Select - Purple Prizm Die Cut,RC,RAW,,,https://storage.googleapis.com/collx-media/user_cards/232360-22138361-1660306231-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-22138361-1660306231-back.jpg
8/12/2022,22069122,Football,10,A.J. Epenesa,Iowa Hawkeyes,2020,Panini,2020 Panini Chronicles Draft Picks - Crown Royale Draft Picks,,RAW,,,https://storage.googleapis.com/collx-media/user_cards/232360-22069122-1660273759-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-22069122-1660273759-back.jpg
1/16/2024,315166443,Football,337,A.J. Epenesa,Iowa Hawkeyes,2020,Score,2020 Score,RC,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-315166443-front.jpg,
8/12/2022,22137246,Football,49,A.J. Green,Cincinnati Bengals,2020,Panini,2020 Panini Mosaic,,RAW,,,https://storage.googleapis.com/collx-media/user_cards/232360-22137246-1660305344-front.jpg,
4/4/2024,369069143,Football,40,A.J. Green,Cincinnati Bengals,2020,Panini,2020 Panini Phoenix,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-369069143-front.jpg,
1/27/2024,323718146,Baseball,194,A.J. Puk,Oakland Athletics,2020,Prizm,2020 Panini Prizm,RC,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-323718146-front.jpg,
3/31/2024,366042644,Football,GT-20,Aaron Donald,Los Angeles Rams,2021,Panini,2021 Panini Certified - Gold Team,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-366042644-front.jpg,
4/4/2024,369145269,Football,140b,Aaron Donald,Los Angeles Rams,2021,Donruss,2021 Donruss - Press Proof Blue,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-369145269-front.jpg,
4/4/2024,369145222,Football,140b,Aaron Donald,Los Angeles Rams,2021,Donruss,2021 Donruss - Press Proof Blue,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-369145222-front.jpg,
4/4/2024,369079653,Football,94,Aaron Donald,Los Angeles Rams,2021,Panini,2021 Panini Certified,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-369079653-front.jpg,
8/12/2022,22127787,Football,133,Aaron Donald,Los Angeles Rams,2020,Select,2020 Panini Select,,RAW,,,https://storage.googleapis.com/collx-media/user_cards/232360-22127787-1660298188-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-22127787-1660298188-back.jpg
4/4/2024,369140011,Football,GF2,Aaron Donald,Los Angeles Rams,2021,Score,2021 Score - Game Face,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-369140011-front.jpg,
1/28/2024,325200333,Basketball,47,Aaron Gordon,Orlando Magic,2020,Panini,2020-21 Panini Revolution,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-325200333-front.jpg,
8/14/2022,22870412,Football,2,Aaron Jones,UTEP Miners,2020,Prizm,2020 Panini Prizm Draft Picks,,RAW,,,https://storage.googleapis.com/collx-media/user_cards/232360-22870412-1660512232-front.jpg,
1/21/2024,319938920,Baseball,FW4,Aaron Judge,New York Yankees,2021,Panini,2021 Panini Prizm - Fireworks Silver Prizm,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-319938920-front.jpg,
